Publishing,Film & Music,Creative,Entertainment,Arts,Tech,Journalism,Siggy,State
0,1,0,0,0,0,0,0.413034559,1
0,0,0,1,0,0,0,0.411100605,1
0,0,1,0,0,0,0,0.492774182,0
0,0,0,0,0,1,0,0.466816049,0
0,1,0,0,0,0,0,0.413306741,0
0,1,0,0,0,0,0,0.423838717,0
0,1,0,0,0,0,0,0.413021702,1
1,0,0,0,0,0,0,0.412587295,1
0,0,0,1,0,0,0,0.428793206,0
0,0,0,0,1,0,0,0.412993892,1
0,0,1,0,0,0,0,0.422862217,0
0,0,0,1,0,0,0,0.519988857,0
0,0,0,0,1,0,0,0.413072098,1
0,0,1,0,0,0,0,0.541087325,0
0,0,1,0,0,0,0,0.751965351,0
0,0,0,0,1,0,0,0.41965665,0
0,0,0,0,0,1,0,0.243608468,1
0,0,0,0,0,1,0,0.435302873,0
1,0,0,0,0,0,0,0.411840092,1
0,1,0,0,0,0,0,0.476709882,0
1,0,0,0,0,0,0,0.442595595,0
1,0,0,0,0,0,0,0.48745695,0
1,0,0,0,0,0,0,0.406344171,1
0,1,0,0,0,0,0,0.415714865,0
0,1,0,0,0,0,0,0.412865645,1
0,0,0,0,0,0,1,0.444665718,0
0,0,0,1,0,0,0,0.399121933,1
0,1,0,0,0,0,0,0.41770955,0
0,0,0,0,1,0,0,0.424346102,0
0,1,0,0,0,0,0,0.412405928,1
0,1,0,0,0,0,0,0.347281305,1
0,0,0,0,1,0,0,0.526259211,0
1,0,0,0,0,0,0,0.41777232,0
0,1,0,0,0,0,0,0.410612313,1
0,1,0,0,0,0,0,0.416200739,0
0,0,0,1,0,0,0,0.410365641,1
0,0,0,0,1,0,0,0.409054981,1
1,0,0,0,0,0,0,0.459014199,0
1,0,0,0,0,0,0,0.493861085,0
0,0,0,0,1,0,0,0.410571718,1
0,0,0,0,0,1,0,0.419000006,0
0,0,1,0,0,0,0,0.378343958,1
0,0,0,0,1,0,0,0.411602573,1
1,0,0,0,0,0,0,0.450887341,0
0,0,0,0,1,0,0,0.428793206,0
0,1,0,0,0,0,0,0.406586979,1
0,1,0,0,0,0,0,0.427201114,0
0,0,1,0,0,0,0,0.571148914,0
0,1,0,0,0,0,0,0.476709882,0
0,0,0,1,0,0,0,0.062757686,1
0,0,1,0,0,0,0,0.447854253,0
0,1,0,0,0,0,0,0.412931331,0
0,0,0,0,1,0,0,0.41435216,0
0,0,0,0,1,0,0,0.43195962,0
0,0,1,0,0,0,0,0.428417161,0
0,0,0,1,0,0,0,0.398827991,1
1,0,0,0,0,0,0,0.450823448,0
0,1,0,0,0,0,0,0.524981928,0
1,0,0,0,0,0,0,0.408817952,1
1,0,0,0,0,0,0,0.439891528,0
0,1,0,0,0,0,0,0.418133299,0
0,0,0,0,1,0,0,0.428809008,0
0,0,0,0,0,1,0,0.444576504,0
1,0,0,0,0,0,0,0.413441287,0
0,1,0,0,0,0,0,0.3909935,1
0,0,1,0,0,0,0,0.428575153,0
0,1,0,0,0,0,0,0.572627384,0
0,1,0,0,0,0,0,0.39502271,1
0,0,1,0,0,0,0,0.35814853,1
0,1,0,0,0,0,0,0.412993892,1
0,0,0,0,0,1,0,0.420379601,0
0,1,0,0,0,0,0,0.444665718,0
1,0,0,0,0,0,0,0.718906547,0
0,1,0,0,0,0,0,0.412524752,1
0,0,0,0,0,1,0,0.997761471,0
0,0,0,0,1,0,0,0.42570201,0
0,0,1,0,0,0,0,0.422292345,0
1,0,0,0,0,0,0,0.421511862,0
0,1,0,0,0,0,0,0.42209404,0
0,0,0,0,1,0,0,0.442162711,0
1,0,0,0,0,0,0,0.387928433,1
0,0,0,1,0,0,0,0.413835613,0
